,gene
1448,IP6K1
1427,IP6K2
250,IPO13
645,IPO9
1573,IQCB1
1745,IQCG
1332,IQSEC1
679,IRF6
1251,IRS1
2,ISG15
545,ISG20L2
1606,ISY1
1134,ITGA6
1158,ITGAV
792,ITGB1BP1
314,ITGB3BP
1587,ITGB5
1260,ITM2C
724,ITPKB
1307,ITPR1
1153,ITPRID2
826,ITSN2
628,IVNS1ABP
1072,IWS1
1958,JADE1
1319,JAGN1
317,JAK1
730,JMJD4
496,JTB
306,JUN
1010,KANSL3
1352,KAT2B
76,KAZN
981,KCMF1
413,KCND3
1183,KCTD18
694,KCTD3
116,KDM1A
995,KDM3A
653,KDM5B
527,KHDC4
176,KHDRBS1
1781,KIAA0232
196,KIAA0319L
1950,KIAA1109
1400,KIAA1143
397,KIAA1324
185,KIAA1522
924,KIAA1841
789,KIDINS220
56,KIF1B
1101,KIF5C
1411,KIF9
594,KIFAP3
799,KLF11
1592,KLF15
1205,KLF7
1439,KLHDC8B
565,KLHDC9
655,KLHL12
601,KLHL20
41,KLHL21
1124,KLHL23
1700,KLHL24
1817,KLHL5
1897,KLHL8
1577,KPNA1
1676,KPNA4
177,KPNA6
999,KRCC1
513,KRTCAP2
849,KRTCAP3
358,KYAT3
643,LAD1
1437,LAMB2
619,LAMC1
530,LAMTOR2
1917,LAMTOR3
1214,LANCL1
1797,LAP3
817,LAPTM4A
169,LAPTM5
1956,LARP1B
1940,LARP7
1404,LARS2
861,LBH
862,LCLAT1
1800,LCORL
137,LDLRAP1
319,LEPROT
1761,LETM1
758,LGALS8
934,LGALSL
1828,LIMCH1
1405,LIMD1
1041,LIMS1
1073,LIMS2
442,LIX1L
1011,LMAN2L
1310,LMCD1
1746,LMLN
532,LMNA
355,LMO4
647,LMOD1
1143,LNPK
346,LPAR3
684,LPGAT1
807,LPIN1
1723,LPP
809,LRATD1
1984,LRBA
1744,LRCH3
1512,LRIG1
417,LRIG2
1774,LRPAP1
893,LRPPRC
326,LRRC40
270,LRRC41
298,LRRC42
35,LRRC47
1567,LRRC58
361,LRRC8B
362,LRRC8D
1278,LRRFIP1
1376,LRRFIP2
206,LSM10
1979,LSM6
869,LTBP1
117,LUZP1
699,LYPLAL1
53,LZIC
220,MACF1
136,MACO1
67,MAD2L2
1757,MAEA
1713,MAGEF1
1510,MAGI1
1044,MALL
1966,MAML3
428,MAN1A2
138,MAN1C1
1778,MAN2B2
1921,MANBA
1463,MANF
1212,MAP2
1715,MAP3K13
1071,MAP3K2
1135,MAP3K20
153,MAP3K6
1417,MAP4
1033,MAP4K4
203,MAP7D1
1991,MAP9
1894,MAPK10
673,MAPKAPK2
1462,MAPKAPK3
837,MAPRE3
706,MARC1
705,MARC2
1111,MARCH7
182,MARCKSL1
266,MAST2
986,MAT2A
1612,MBD4
1099,MBD5
1664,MBNL1
790,MBOAT2
1699,MCCC1
955,MCEE
903,MCFD2
458,MCL1
1092,MCM6
931,MDH1
665,MDM4
208,MEAF6
168,MECR
1798,MED28
246,MED8
32,MEGF6
1049,MERTK
1915,METAP1
1942,METTL14
1207,METTL21A
1128,METTL8
1253,MFF
1690,MFN1
71,MFN2
1674,MFSD1
1770,MFSD10
383,MFSD14A
1166,MFSD6
1954,MFSD8
1023,MGAT4A
1087,MGAT5
1965,MGST2
580,MGST3
707,MIA3
16,MIB2
97,MICOS10
321,MIER1
339,MIGA1
72,MIIP
464,MINDY1
1024,MITD1
273,MKNK1
1330,MKRN2
1277,MLPH
1102,MMADHC
1667,MME
970,MOB1A
1859,MOB1B
274,MOB3C
1179,MOB4
974,MOGS
25,MORN1
885,MORN2
415,MOV10
587,MPC2
956,MPHOSPH10
1779,MRFAP1L1
95,MRTO4
905,MSH2
906,MSH6
1632,MSL2
522,MSTO1
890,MTA3
1290,MTERF4
214,MTF1
369,MTF2
140,MTFR1L
1864,MTHFD2L
916,MTIF2
1045,MTLN
64,MTOR
760,MTR
1144,MTX2
514,MUC1
1730,MUC20
104,MUL1
1485,MUSTN1
260,MUTYH
1766,MXD4
11,MXRA8
1381,MYD88
1750,MYL5
1584,MYLK
1680,MYNN
1170,MYO1B
1824,N4BP2
1963,NAA15
1559,NAA50
1869,NAAA
1167,NAB1
20,NADK
954,NAGK
1906,NAP1L5
263,NASP
542,NAXE
810,NBAS
1409,NBEAL2
98,NBL1
1739,NCBP2
1740,NCBP2AS2
197,NCDN
1634,NCK1
1038,NCK2
1155,NCKAP1
1086,NCKAP5
1426,NCKIPSD
1263,NCL
827,NCOA1
559,NCSTN
1285,NDUFA10
1432,NDUFAF3
878,NDUFAF7
1692,NDUFB5
1962,NDUFC1
1202,NDUFS1
573,NDUFS2
219,NDUFS5
87,NECAP2
1550,NECTIN3
564,NECTIN4
1484,NEK4
637,NEK7
1763,NELFA
687,NENF
1554,NEPRO
544,NES
1146,NFE2L2
308,NFIA
1920,NFKB1
1543,NFKBIZ
1836,NFXL1
231,NFYC
1358,NGLY1
625,NIBAN1
1067,NIFK
129,NIPAL3
1477,NISCH
567,NIT1
1538,NIT2
1355,NKIRAS1
1391,NKTR
1678,NMD3
1419,NME6
1850,NOA1
0,NOC2L
802,NOL10
39,NOL9
1771,NOP14
1194,NOP58
435,NOTCH2
1030,NPAS2
1624,NPHP3
1928,NPNT
1458,NPRL2
1340,NR2C2
1983,NR3C2
1106,NR4A2
422,NRAS
283,NRDC
1762,NSD2
1775,NSG1
689,NSL1
271,NSUN4
1826,NSUN7
1478,NT5DC2
746,NTPCR
670,NUCKS1
149,NUDC
1618,NUDT16
1899,NUDT9
1333,NUP210
1156,NUP35
1871,NUP54
713,NVL
1542,NXPE3
481,OAZ3
734,OBSCN
1246,OBSL1
1839,OCIAD1
1840,OCIAD2
801,ODC1
351,ODF2L
1314,OGG1
304,OMA1
1725,OPA1
1187,ORC2
1098,ORC4
1164,ORMDL1
1364,OSBPL10
282,OSBPL9
840,OST4
100,OTUD3
1977,OTUD4
451,OTUD7B
1382,OXSR1
1665,P2RY1
238,P3H1
1430,P4HTM
221,PABPC4
1802,PACRGL
141,PAFAH2
1848,PAICS
957,PAIP2B
1737,PAK2
28,PANK4
922,PAPOLG
1931,PAPSS1
1881,PAQR3
537,PAQR6
46,PARK7
1702,PARL
1865,PARM1
1580,PARP14
1468,PARP3
1578,PARP9
1291,PASK
310,PATJ
1480,PBRM1
579,PBX1
505,PBXIP1
948,PCBP1
1469,PCBP4
1960,PCDH18
976,PCGF1
747,PCNX2
950,PCYOX1
1733,PCYT1A
1679,PDCD10
1374,PDCD6IP
1029,PDCL3
1499,PDE12
320,PDE4B
449,PDE4DIP
1505,PDHB
1582,PDIA5
803,PDIA6
1911,PDLIM5
1823,PDS5A
555,PEA15
1281,PER2
45,PER3
440,PEX11B
923,PEX13
60,PEX14
557,PEX19
566,PFDN2
675,PFKFB2
1659,PFN2
778,PGBD2
57,PGD
315,PGM1
1814,PGM2
1957,PGRMC2
163,PHACTR4
190,PHC2
1683,PHC3
42,PHF13
434,PHGDH
644,PHLDA3
1551,PHLDB2
473,PI4KB
439,PIAS3
1255,PID1
598,PIGC
900,PIGF
1748,PIGG
336,PIGK
553,PIGM
1736,PIGX
1741,PIGZ
1639,PIK3CB
267,PIK3R3
1616,PIK3R4
1211,PIKFYVE
105,PINK1
470,PIP5K1A
124,PITHD1
1901,PKD2
356,PKN2
642,PKP1
1107,PKP4
1564,PLA1A
1937,PLA2G12A
101,PLA2G2A
102,PLA2G5
27,PLCH2
1085,PLEKHB2
81,PLEKHM2
1210,PLEKHM3
453,PLEKHO1
70,PLOD1
1651,PLOD2
303,PLPP3
1990,PLRG1
1652,PLSCR1
1420,PLXNB1
1614,PLXND1
535,PMF1
504,PMVK
1225,PNKD
942,PNO1
126,PNRC2
1596,PODXL2
583,POGK
1562,POGLUT1
477,POGZ
979,POLE4
993,POLR1A
1052,POLR1B
1851,POLR2B
1711,POLR2H
438,POLR3C
269,POMGNT1
1393,POMGNT2
585,POU2F1
1924,PPA2
235,PPCS
1997,PPID
223,PPIE
1123,PPIG
237,PPIH
1186,PPIL3
894,PPM1B
848,PPM1G
1902,PPM1K
1473,PPM1M
571,PPOX
856,PPP1CB
652,PPP1R12B
664,PPP1R15B
909,PPP1R21
1292,PPP1R7
159,PPP1R8
1631,PPP2R3A
686,PPP2R5A
1919,PPP3CA
943,PPP3R1
1522,PPP4R2
919,PPP4R3B
226,PPT1
548,PRCC
75,PRDM2
1947,PRDM5
600,PRDX6
843,PREB
661,PRELP
895,PREPL
444,PRKAB2
342,PRKACB
1428,PRKAR2A
1489,PRKCD
897,PRKCE
1684,PRKCI
22,PRKCZ
879,PRKD3
1883,PRKG2
1149,PRKRA
1004,PROM2
456,PRPF3
289,PRPF38A
393,PRPF38B
1105,PRPF40A
596,PRRC2C
595,PRRX1
465,PRUNE1
30,PRXL2B
1055,PSD4
725,PSEN2
400,PSMA5
198,PSMB2
476,PSMB4
1262,PSMD1
1114,PSMD14
1709,PSMD2
471,PSMD4
1509,PSMD6
912,PSME4
380,PTBP2
427,PTGFRN
1264,PTMA
1895,PTPN13
1082,PTPN18
1412,PTPN23
1061,PTPN4
638,PTPRC
249,PTPRF
1506,PTPRG
828,PTRHD1
171,PUM1
819,PUM2
782,PXDN
1504,PXK
1642,PXYLP1
720,PYCR2
506,PYGO2
1904,PYURF
1435,QARS
1796,QDPR
1434,QRICH1
613,QSOX1
1090,R3HDM1
832,RAB10
961,RAB11FIP5
497,RAB13
939,RAB1A
531,RAB25
1790,RAB28
671,RAB29
284,RAB3B
1089,RAB3GAP1
703,RAB3GAP2
1605,RAB43
738,RAB4A
1351,RAB5A
1602,RAB7A
605,RABGAP1L
335,RABGGTB
654,RABIF
1570,RABL3
1466,RAD54L2
1331,RAF1
1064,RALB
607,RALGPS2
1279,RAMP1
1042,RANBP2
412,RAP1A
110,RAP1GAP
1913,RAP1GDS1
1999,RAPGEF2
1644,RASA2
606,RASAL2
1457,RASSF1
316,RAVER2
666,RBBP5
1464,RBM15B
1148,RBM45
1825,RBM47
1450,RBM5
1449,RBM6
441,RBM8A
359,RBMXL1
54,RBP7
1811,RBPJ
1341,RBSN
604,RC3H1
130,RCAN3
89,RCC2
1866,RCHY1
681,RCOR3
815,RDH14
1813,RELL1
26,RER1
48,RERE
1233,RETREG2
983,RETSAT
1027,REV1
1819,RFC1
1488,RFT1
474,RFX5
1773,RGS12
630,RGS2
578,RGS5
1252,RHBDD1
1441,RHOA
820,RHOB
899,RHOQ
737,RHOU
1532,RIOX2
526,RIT1
227,RLF
880,RMDN2
998,RMND5A
786,RNASEH1
997,RNF103
279,RNF11
437,RNF115
1446,RNF123
1658,RNF13
787,RNF144A
1032,RNF149
1970,RNF150
1735,RNF168
736,RNF187
626,RNF2
1230,RNF25
1767,RNF4
390,RNPC3
649,RNPEP
1288,RNPEPL1
632,RO60
1523,ROBO1
805,ROCK2
482,RORC
366,RPAP2
344,RPF1
1001,RPIA
1601,RPN1
457,RPRD2
546,RRNAD1
697,RRP15
418,RSBN1
1672,RSRC1
134,RSRP1
386,RTCA
972,RTKN
915,RTN4
1857,RUFY3
520,RUSC1
1599,RUVBL1
1521,RYBP
1628,RYK
483,S100A10
484,S100A11
487,S100A13
486,S100A4
485,S100A6
187,S100PBP
1406,SACM1L
1076,SAP130
398,SARS
1350,SATB1
1180,SATB2
1413,SCAP
1872,SCARB2
772,SCCPDH
1887,SCD5
1959,SCLT1
233,SCMH1
468,SCNM1
293,SCP2
1138,SCRN3
1870,SDAD1
818,SDC1
170,SDC3
763,SDCCAG8
721,SDE2
4,SDF4
88,SDHB
1325,SEC13
436,SEC22B
1390,SEC22C
1935,SEC24B
1943,SEC24D
1888,SEC31A
1598,SEC61A1
1681,SEC62
1809,SEL1L3
475,SELENBP1
353,SELENOF
835,SELENOI
1494,SELENOK
139,SELENON
1453,SEMA3B
1451,SEMA3F
533,SEMA4A
1014,SEMA4C
1717,SENP2
1738,SENP5
1807,SEPSECS
1043,SEPTIN10
1875,SEPTIN11
1295,SEPTIN2
323,SERBP1
174,SERINC2
1661,SERP1
936,SERTAD2
1150,SESTD1
1410,SETD2
1313,SETD5
1964,SETD7
462,SETDB1
1306,SETMAR
216,SF3A3
1175,SF3B1
824,SF3B6
1487,SFMBT1
194,SFPQ
590,SFT2D2
1932,SGMS2
144,SH3BGRL3
1273,SH3BP4
1343,SH3BP5
775,SH3BP5L
1985,SH3D19
352,SH3GLB1
779,SH3YL1
507,SHC1
646,SHISA4
1422,SHISA5
1874,SHROOM3
1663,SIAH2
424,SIKE1
24,SKI
1685,SKIL
1837,SLAIN2
1759,SLBP
1980,SLC10A7
416,SLC16A1
593,SLC19A2
937,SLC1A4
1054,SLC20A1
1132,SLC25A12
392,SLC25A24
1511,SLC25A26
1641,SLC25A36
534,SLC25A44
1425,SLC26A6
242,SLC2A1
683,SLC30A1
865,SLC30A6
388,SLC30A7
1830,SLC30A9
1668,SLC33A1
382,SLC35A3
1553,SLC35A5
322,SLC35D1
19,SLC35E2A
18,SLC35E2B
1056,SLC35F5
836,SLC35F6
494,SLC39A1
1172,SLC39A10
1162,SLC40A1
1590,SLC41A3
377,SLC44A3
669,SLC45A3
1581,SLC49A4
854,SLC4A1AP
1861,SLC4A4
1359,SLC4A7
511,SLC50A1
804,SLC66A3
1035,SLC9A2
1627,SLCO2A1
1801,SLIT2
1502,SLMAP
230,SMAP2
1975,SMARCA5
1910,SMARCAD1
1415,SMARCC1
813,SMC6
538,SMG5
620,SMG7
191,SMIM12
1821,SMIM14
1810,SMIM20
1479,SMIM4
1079,SMPD4
693,SMYD2
770,SMYD3
962,SMYD5
729,SNAP47
489,SNAPIN
1908,SNCA
209,SNIP1
1394,SNRK
1009,SNRNP200
172,SNRNP40
662,SNRPE
951,SNRPG
847,SNX17
480,SNX27
1589,SNX4
610,SOAT1
902,SOCS5
1805,SOD3
399,SORT1
886,SOS1
663,SOX13
1258,SP110
1136,SP3
1216,SPAG16
1900,SPARCL1
864,SPAST
696,SPATA17
1182,SPATS2L
1483,SPCS1
1243,SPEG
83,SPEN
1557,SPICE1
1755,SPON2
1096,SPOPL
960,SPR
744,SPRTN
1951,SPRY1
914,SPTBN1
1311,SRGAP3
62,SRM
1849,SRP72
717,SRP9
1626,SRPRB
131,SRRM1
127,SRSF10
327,SRSF11
167,SRSF4
884,SRSF7
300,SSBP3
528,SSR2
1670,SSR3
15,SSU72
1721,ST6GAL1
414,ST7L
1633,STAG1
1103,STAM2
967,STAMBP
1006,STARD7
1169,STAT1
1873,STBD1
1812,STIM2
